[0, 0, 0]
         NaN	         NaN	       32364	       24846	       18336	       18918	       34498	       42972	       63266	       64652	       10004	       10648	       21668	       15704	       34644	       35488
         NaN	         NaN	       22686	       20816	       20004	       19390	       34186	       39704	       48342	       46892	       10398	        9830	       16822	       12558	       31564	       38320
       33430	       28620	         NaN	         NaN	       21332	       22308	        7728	        8352	       17354	       27440	       31634	       26362	       44654	       63770	       13660	       11968
       25800	       23680	         NaN	         NaN	       21388	       20334	        5754	        6706	       11552	       23356	       30484	       31704	       47996	       48746	       10162	        8784
       22230	       27448	       25900	       21454	         NaN	         NaN	       43600	       41008	       39806	       27520	       32766	       54142	       28244	       28010	       33428	       27764
       20886	       23972	       22630	       24432	         NaN	         NaN	       54756	       41620	       33416	       33250	       29988	       41328	       32102	       26362	       52674	       30690
       34520	       41302	        7444	        5090	       36718	       41602	         NaN	         NaN	       64302	       46874	       17764	       20190	        7640	        4288	       65024	       45232
       44740	       39486	        8554	        6210	       35844	       38348	         NaN	         NaN	       64908	       56658	       14006	       21140	       11722	        6282	       64862	       64528
       62878	       46440	       12954	       10518	       26744	       22630	       61962	       64570	         NaN	         NaN	        4000	        8860	       30116	       24468	       44420	       39622
       59190	       53128	       20624	       19674	       21720	       23396	       40594	       50120	         NaN	         NaN	        5374	        9906	       27766	       24448	       30772	       37614
       10346	       10638	       31474	       28712	       26070	       23378	       14910	       14184	        5242	        5784	         NaN	         NaN	       32344	       30882	       20476	       15332
        9782	       10514	       25972	       28986	       40950	       36946	       23716	       17652	        9556	       12010	         NaN	         NaN	       30762	       31444	       20648	       21976
       21864	       15884	       40494	       41134	       21320	       26274	        6320	       10330	       34596	       30474	       29802	       29238	         NaN	         NaN	        9306	       13262
       15548	       12616	       54500	       47484	       22122	       22246	        8104	        5956	       24170	       24912	       29966	       29104	         NaN	         NaN	        5152	        6354
       32708	       31584	       12212	        8888	       29362	       36488	       64586	       64124	       44482	       34392	       19588	       23146	        8120	        5966	         NaN	         NaN
       30350	       37934	       10238	        7796	       21774	       21806	       49006	       60070	       41776	       43610	       15144	       19408	       14558	        6926	         NaN	         NaN

[1, 0, 0]
         NaN	         NaN	       31008	       23208	       17602	       18156	       32134	       40210	       64900	       61096	       10104	       10992	       22994	       16094	       35276	       35278
         NaN	         NaN	       26808	       21474	       21464	       17166	       39236	       35622	       47142	       57248	        7694	        9524	       16504	       12036	       35356	       38576
       27494	       29700	         NaN	         NaN	       22544	       21758	        7454	        8652	       14752	       26292	       30784	       29534	       45374	       63724	       13376	       11286
       25328	       24364	         NaN	         NaN	       19824	       21060	        5552	        6198	       11618	       21262	       30818	       30092	       46420	       48044	       10286	        8512
       23944	       22232	       22096	       20022	         NaN	         NaN	       37208	       38494	       39330	       26960	       28770	       53380	       26474	       26684	       40534	       24052
       22860	       23510	       21324	       23556	         NaN	         NaN	       51438	       47618	       31152	       32730	       29522	       44432	       35130	       25868	       51270	       29522
       38370	       36694	        7350	        5432	       35392	       42502	         NaN	         NaN	       64180	       46288	       16258	       23620	        6492	        8228	       64978	       46380
       39232	       35690	        7942	        6518	       34494	       35072	         NaN	         NaN	       65004	       53738	       13292	       16812	       10046	        6012	       64304	       64164
       58890	       45014	       14644	        9608	       25500	       21278	       60382	       63438	         NaN	         NaN	        5206	        7500	       32570	       22704	       41126	       35266
       58258	       52068	       20122	       18974	       21354	       24712	       40480	       46298	         NaN	         NaN	        4982	       11812	       26038	       24092	       35418	       36908
        9988	       11106	       29792	       26856	       24434	       23968	       17162	       13002	        5642	        5390	         NaN	         NaN	       31598	       31166	       19388	       16262
