[0, 0, 0]
           0	           0
        -292	          29
        5744	           0
        6041	          13
        3122	        3076
        2826	        3123
        1144	        2030
        1153	        1719
        1215	         490
        1245	         197
        5519	        2498
        5229	        2554
        3908	         300
        4209	         312
         186	        2257
        -134	        2198

[1, 0, 0]
           0	           2
        -291	          38
        5747	          -4
        6050	          16
        3118	        3074
        2818	        3114
        1382	        2010
        1375	        1694
        1461	         489
        1492	         180
        5502	        2294
        5196	        2328
        3933	         517
        4235	         549
         257	        2036
         -57	        1986

[2, 0, 0]
           1	           3
        -290	          39
        5748	          -7
        6051	          17
        3117	        3080
        2816	        3108
        1610	        2018
        1600	        1702
        1690	         508
        1674	         207
        5487	        2086
        5201	        2139
        3951	         732
        4255	         783
         278	        1819
         -32	        1750

[3, 0, 0]
           2	           2
        -291	          38
        5746	          -4
        6050	          15
        3120	        3082
        2816	        3109
        1819	        2002
        1822	        1685
        1897	         481
        1895	         175
        5440	        1839
        5157	        1881
        3932	         964
        4237	         996
         293	        1600
         -30	        1541

[4, 0, 0]
           2	           2
        -292	          38
        5747	          -3
        6050	          15
        3121	        3079
        2816	        3109
        2036	        1994
        2046	        1678
        2108	         449
        2117	         141
        5423	        1601
        5132	        1626
        3930	        1189
        4246	        1201
         308	        1391
           0	        1321

[5, 0, 0]
           3	           1
        -292	          38
        5746	          -2
        6050	          12
        3119	        3082
        2816	        3110
        2252	        2061
        2271	        1756
        2326	         461
        2355	         146
        5381	        1361
        5095	        1426
        3941	        1408
        4256	        1395
         343	        1164
          34	        1096

[6, 0, 0]
           3	           1
        -291	          40
        5747	          -2
        6051	          12
        3118	        3081
        2815	        3109
        2476	        2060
        2510	        1744
        2552	         471
        2583	         158
        5390	        1140
        5111	        1235
        3981	        1653
        4278	        1615
         385	         955
          79	         876

[7, 0, 0]
           2	           0
        -290	          41
        5747	          -3
        6051	          13
        3118	        3080
        2815	        3110
        2707	        2093
        2736	        1783
        2796	         469
        2790	         159
        5403	         942
        5102	         986
        3972	        1858
        4293	        1843
         465	        1027
         373	         708

[8, 0, 0]
           1	           0
        -291	          42
        5748	          -3
        6052	          14
        3118	        3079
        2815	        3108
        2916	        2086
        2945	        1774
        3011	         468
        3019	         153
        5376	         742
        5085	         735
        3994	        2077
        4307	        2067
         662	         969
         602	         672

[9, 0, 0]
           1	           0
        -291	          42
        5748	          -3
        6052	          14
        3118	        3079
        2815	        3108
        3150	        2011
        3070	        1708
        3223	         502
        3232	         183
        5378	         516
        5083	         530
        4002	        2312
        4314	        2283
         877	         966
         840	         658

[10, 0, 0]
           2	           1
        -291	          40
        5747	          -3
        6051	          14
        3119	        3079
        2815	        3109
        3398	        1880
        3239	        1607
        3453	         517
        3440	         198
        5034	         987
        5355	        1009
        2167	        2177
        2117	        2481
        1081	         942
        1037	         627

[11, 0, 0]
           1	           2
        -292	          40
        5747	          -3
        6051	          15
        3119	        3078
        2816	        3109
        3585	        1761
        3434	        1494
        3670	         567
        3661	         250
        5033	        1205
        5349	        1237
        1935	        2155
        1881	        2459
        1284	         958
        1239	         637

[12, 0, 0]
           1	           1
        -292	          40
        5747	          -3
        6051	          15
        3119	        3079
        2816	        3108
        3582	        1762
        3436	        1482
        3881	         586
        3884	         280
        5023	        1444
        5336	        1466
        1668	        2153
        1667	        2469
        1513	         950
        1466	         641

[13, 0, 0]
           1	           1
        -292	          39
        5747	          -3
        6050	          15
        3119	        3080
        2817	        3109
        3604	        1774
        3433	        1498
        4076	         596
        4096	         284
        5008	        1632
        5315	        1663
        1463	        2137
        1471	        2452
        1721	         926
        1685	         604

[14, 0, 0]
           1	           2
        -292	          39
        5747	          -3
        6051	          15
        3119	        3080
        2817	        3109
        3596	        1781
        3425	        1512
        4298	         613
        4329	         303
        4992	        1863
        5292	        1906
        1235	        2126
        1261	        2435
        1938	         870
        1890	         535

[15, 0, 0]
           1	           2
        -292	          40
        5747	          -3
        6051	          15
        3119	        3078
        2816	        3108
        3386	        1497
        3550	        1772
        4194	         514
        4497	         574
        5021	        1981
        5312	        2023
        1166	        2045
        1160	        2368
        1788	         676
        2031	         801

[16, 0, 0]
           1	           2
        -292	          40
        5747	          -3
        6051	          15
        3119	        3078
        2816	        3108
        3303	        1585
        3441	        1863
        4142	         756
        4454	         801
        5008	        2107
        5305	        2148
        1054	        2094
        1041	        2406
        1713	         810
        1986	         949

[17, 0, 0]
           1	           1
        -292	          40
        5747	          -3
        6051	          15
        3119	        3080
        2816	        3108
        3207	        1651
        3336	        1929
        4159	         923
        4449	         990
        5040	        2251
        5350	        2268
         932	        2110
         896	        2422
        1661	         949
        1934	        1049

[18, 0, 0]
           1	           1
        -291	          40
        5747	          -3
        6051	          15
        3119	        3080
        2816	        3108
        3079	        1683
        3216	        1974
        4132	        1043
        4424	        1094
        4998	        2355
        5308	        2374
         788	        2116
         781	        2435
        1608	        1078
        1870	        1161

