[0, 0, 0]
           0	           0
         271	         139
        7286	           0
        7488	        -237
        7701	        7288
        7467	        7107
         171	        7497
         378	        7262
        1503	        1583
        1523	        1272
        6232	        5701
        6219	        6015
        1822	        5935
        1525	        5908
        5895	        1272
        6190	        1214

[1, 0, 0]
           2	          -2
         266	         146
        7290	          -4
        7492	        -235
        7702	        7287
        7462	        7104
         181	        7494
         391	        7264
        1711	        1577
        1770	        1277
        5993	        5707
        5986	        6023
        1780	        5704
        1476	        5699
        5883	        1489
        6184	        1443

[2, 0, 0]
           2	          -2
         266	         146
        7290	          -4
        7492	        -235
        7702	        7287
        7462	        7104
         181	        7494
         391	        7264
        1711	        1577
        1770	        1277
        5993	        5707
        5986	        6023
        1780	        5704
        1476	        5699
        5883	        1489
        6184	        1443

[3, 0, 0]
           6	          -9
         260	         155
        7290	          -4
        7495	        -235
        7703	        7285
        7459	        7104
         188	        7496
         398	        7261
        1943	        1583
        1990	        1275
        5771	        5692
        5770	        6012
        1807	        5483
        1512	        5465
        5906	        1694
        6217	        1628

[4, 0, 0]
           6	          -9
         260	         155
        7290	          -4
        7495	        -235
        7703	        7285
        7459	        7104
         188	        7496
         398	        7261
        1943	        1583
        1990	        1275
        5771	        5692
        5770	        6012
        1807	        5483
        1512	        5465
        5906	        1694
        6217	        1628

[5, 0, 0]
           4	          -9
         262	         152
        7288	          -4
        7494	        -234
        7703	        7287
        7461	        7103
         184	        7481
         408	        7273
        2181	        1604
        2207	        1297
        5574	        5726
        5588	        6050
        1827	        5251
        1514	        5236
        5907	        1933
        6223	        1850

[6, 0, 0]
           4	          -9
         262	         152
        7288	          -4
        7494	        -234
        7703	        7287
        7461	        7103
         184	        7481
         408	        7273
        2181	        1604
        2207	        1297
        5574	        5726
        5588	        6050
        1827	        5251
        1514	        5236
        5907	        1933
        6223	        1850

[7, 0, 0]
           5	          -8
         263	         151
        7289	          -3
        7492	        -235
        7701	        7288
        7464	        7103
         188	        7475
         407	        7252
        2421	        1565
        2396	        1228
        5395	        5804
        5364	        6082
        1846	        5021
        1530	        5024
        5932	        2137
        6230	        2117

[8, 0, 0]
           5	          -8
         263	         151
        7289	          -3
