[0, 0, 0]
         NaN	         NaN	       10094	       10142	       12848	       12574	       14420	        9454	       17678	       13660	       24010	       24406	       11842	        8740	        8138	        6890
         NaN	         NaN	        8384	        9810	       13430	       14248	       13054	        8462	       25476	       24262	       21964	       21768	        9906	       13328	        6738	        5404
       10898	        9818	         NaN	         NaN	       15554	       17666	       29210	       31852	        8280	        9194	       17712	       19496	       21068	       14104	       24294	       20188
       10066	       10330	         NaN	         NaN	       15958	       14508	       51938	       53050	        8506	        8482	       19772	       17414	       27228	       20798	       25372	       20462
       15236	       14772	       17668	       18190	         NaN	         NaN	       22208	       23674	       39866	       23282	       19416	       17302	       32118	       32502	       36432	       54300
       17344	       18880	       21162	       13994	         NaN	         NaN	       21892	       26388	       58880	       46134	       25396	       21444	       20618	       20050	       46294	       60650
       14226	       14936	       31576	       50868	       18216	       18478	         NaN	         NaN	       19142	        7932	       22440	       23236	       47020	       33872	       32290	       25488
        8292	       10190	       32588	       54674	       17576	       19352	         NaN	         NaN	       14424	        7526	       15906	       13706	       42324	       27370	       34102	       26208
       14682	       22646	        7766	        6414	       30812	       41722	       17850	       13154	         NaN	         NaN	       18672	       13874	       16908	       15842	       18892	       30922
       13758	       20146	        9630	        8098	       21792	       34664	        7922	        6218	         NaN	         NaN	       15440	       13162	       11442	       11120	       15906	       20666
       21982	       24304	       19168	       14260	       15326	       22096	       21580	       16300	       21704	       17984	         NaN	         NaN	        9344	       10108	       22530	       26344
       21898	       24508	       18320	       18606	       15428	       17788	       22666	       14032	       17432	       13668	         NaN	         NaN	        7318	        6878	       21580	       18120
       12498	       10166	       18512	       29468	       26128	       17510	       47164	       39900	       16284	       13772	        7374	        6786	         NaN	         NaN	       50644	       38358
        9454	       13756	       14694	       20688	       24132	       15374	       34158	       29074	       18960	       13874	        9906	        7290	         NaN	         NaN	       54094	       50830
       10412	        7628	       21266	       25520	       35144	       36448	       36812	       39622	       22582	       16114	       22214	       22788	       61416	       55244	         NaN	         NaN
        7410	        5676	       20528	       18934	       47032	       50358	       23114	       26630	       35364	       23410	       21356	       16330	       44778	       53768	         NaN	         NaN

[1, 0, 0]
         NaN	         NaN	       10476	        8944	       13714	       12124	       13514	        9738	       15746	       15924	       21514	       23230	       12232	        8692	       10150	        3502
         NaN	         NaN	        8442	       10368	       14028	       13726	       15000	        9388	       25470	       24148	       23796	       23212	        9424	       13428	        7672	        5422
       11022	       10130	         NaN	         NaN	       12528	       15878	       29882	       32776	        7416	       10052	       19584	       19450	       20484	       14066	       24040	       20078
       10500	        9530	         NaN	         NaN	       16378	       14704	       45942	       55780	        7812	        8160	       19414	       15358	       31696	       24666	       24352	       20998
       16768	       15120	       15060	       18180	         NaN	         NaN	       21784	       23214	       39378	       25506	       19184	       17878	       30590	       31016	       42974	       59196
       15046	       18356	       20986	       14438	         NaN	         NaN	       24050	       25448	       57906	       45898	       26572	       22176	       20226	       17594	       40816	       56986
       14526	       14974	       32086	       42960	       17956	       17698	         NaN	         NaN	       18856	        7820	       24376	       21106	       45754	       35184	       39196	       25858
        9132	        8056	       28920	       54632	       19370	       22276	         NaN	         NaN	       15786	        5034	       16306	       13612	       42272	       26778	       39478	       24898
       14726	       22392	        7144	        7392	       30820	       40972	       14984	       13098	         NaN	         NaN	       20460	       14564	       16078	       15106	       19544	       26662
       14398	       21894	        9324	        7456	       21758	       34420	        7100	        7454	         NaN	         NaN	       15522	       14546	       12424	       12900	       13530	       23222
       22372	       25350	       20026	       18254	       15966	       21862	       22208	       16676	       21942	       19198	         NaN	         NaN	        8700	        9238	       22792	       26072
       25264	       26490	       18450	       17858	       15504	       17542	       21670	       15218	       17742	       16242	         NaN	         NaN	        6992	        6908	       26040	       18540
       11584	        9288	       16994	       26022	       21926	       17424	       45892	       38572	       19028	       13660	        9838	        7064	         NaN	         NaN	       58142	       44284
        9336	       13976	       14956	       20122	       27720	       16848	       36324	       21694	       18810	       14242	        8712	        7050	         NaN	         NaN	       45446	       53080
        9242	        7116	       22636	       22958	       32888	       34292	       38188	       33766	       26218	       17746	       23136	       24344	       54846	       52696	         NaN	         NaN
        7430	        5990	       20358	       19844	       43580	       47190	       23700	       26610	       36140	       25706	       23980	       18210	       45322	       52594	         NaN	         NaN

[3, 0, 0]
         NaN	         NaN	        9522	        9684	       12124	       11734	       13794	       10390	       14858	       16732	       21190	       17922	       10938	       12198	       15696	        9116
         NaN	         NaN	        8388	        9850	       13204	       15528	       11886	       10598	       25062	       25216	       20778	       20804	       11862	       12942	       10994	        8058
       10248	       10048	         NaN	         NaN	       15108	       18532	       29596	       27954	        7118	       10222	       20574	       21158	       18616	       12292	       29072	       16060
       10646	       11096	         NaN	         NaN	       14566	       14610	       48314	       47264	        7098	        4542	       18918	       20598	       24952	       22678	       30248	       19900
       16918	       17198	       16468	       17268	         NaN	         NaN	       23044	       26432	       48452	       38890	       20592	       17712	       33742	       35220	       38130	       48396
       16838	       17106	       18880	       17084	         NaN	         NaN	       26880	       24938	       51754	       52244	       18714	       18232	       25888	       19512	       37666	       51132
       12934	       13302	       24448	       44680	       18578	       21656	         NaN	         NaN	       10226	       12188	       25950	       23678	       45142	       33544	       47066	       35556
        9370	       10742	       30510	       46142	       22870	       23220	         NaN	         NaN	        7468	        6578	       15446	       18214	       41124	       38192	       48302	       32774
       15702	       24928	        6272	        5224	       37352	       35154	       11456	        7890	         NaN	         NaN	       19360	       18234	       16850	       14988	       22184	       27766
       15536	       21196	        9148	        4512	       36952	       39362	       11204	        6180	         NaN	         NaN	       22976	       19124	       12430	       12116	       17022	       24282
       21328	       21564	       20338	       20562	       15682	       18486	       27504	       16642	       22004	       24748	         NaN	         NaN	        8512	       14042	       25420	       40638
       22960	       21892	       19476	       19328	       15662	       13758	       25820	       19912	       19808	       23104	         NaN	         NaN	        6800	        6262	       10250	       22768
       10856	       13506	       15782	       24490	       28468	       21660	       50658	       43394	       22182	       15404	        7666	        6398	         NaN	         NaN	       61380	       61184
       12742	       12874	       12316	       17950	       30450	       17274	       32912	       25702	       19760	       13212	       13142	        6480	         NaN	         NaN	       57124	       48062
       14746	       11346	       25844	       25654	       29818	       30324	       38768	       46854	       22354	       17916	       20784	        8690	       52848	       46770	         NaN	         NaN
        8706	        8636	       15648	       18338	       39458	       42682	       37390	       31874	       30828	       25486	       36034	       26524	       61630	       52648	         NaN	         NaN

[4, 0, 0]
         NaN	         NaN	       10036	        8196	       13222	       13236	       12124	        9494	       17624	       15752	       19176	       18878	       10842	       10892	       15660	        9314
         NaN	         NaN	        9534	        9812	       14100	       12836	       13968	       10670	       26522	       22940	       20950	       19298	       13004	       13848	       10586	        8980
        8938	       10208	         NaN	         NaN	       14890	       16602	       27758	       25738	        7520	       10892	       21156	       21156	       15914	       13186	       28962	       16916
        9446	        9598	         NaN	         NaN	       15540	       14562	       46060	       46340	        7162	        4344	       20586	       17464	       31038	       21280	       29466	       19792
       15688	       15224	       16354	       16802	         NaN	         NaN	       23370	       27284	       47264	       39998	       18204	       16550	       35356	       34758	       37738	       43290
       14610	       13630	       20370	       16362	         NaN	         NaN	       25522	       29892	       50376	       52068	       22198	       17962	       25156	       19814	       38320	       51882
       14124	       12646	       23890	       45624	       16946	       23046	         NaN	         NaN	       11834	       12600	       27162	       22600	       49972	       34868	       45286	       34842
       10482	       10936	       29676	       46828	       19044	       25330	         NaN	         NaN	        7580	        6614	       16090	       18436	       48506	       37472	       42064	       35914
       15312	       24650	        6640	        5362	       36814	       36058	       10340	        7750	         NaN	         NaN	       17376	       18196	       20498	       17872	       25060	       32422
       13752	       24270	        8488	        3724	       37260	       38536	       12064	        5450	         NaN	         NaN	       20600	       19056	       14096	       11410	       16688	       24168
       20520	       20692	       19770	       19154	       18192	       16166	       26244	       16466	       21726	       24626	         NaN	         NaN	        6978	       12470	       24176	       37568
       23120	       22234	       19792	       17532	       15534	       15238	       25294	       20828	       19348	       18250	         NaN	         NaN	        7268	        6170	        9404	       24452
        9810	       12024	       14854	       24194	       26744	       21426	       50092	       41686	       21422	       14790	        7518	        6964	         NaN	         NaN	       60780	       56522
